"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"5531","鄉林建設","          2508872","          1428633","          1080239","                  0","                  0","            290351","            789888","              4037","             35939","            757986","              6255","            751731","                  0","                  0","                  0","                  0","            751731","                  1.85"
"5533","皇鼎建設","          3343512","          2406305","            937207","                  0","                  0","            190882","            746325","             29575","              1628","            774272","             58000","            716272","                  0","                  0","                  0","                  0","            716272","                  3.69"
"5534","長虹","          6592144","          3587861","          3004283","              1238","                -39","            376326","          2626680","             78079","             10129","          2694630","             22926","          2671704","                  0","                  0","                  0","                  0","          2671704","                 11.18"
"5607","遠雄港","             14810","                818","             13992","                  0","                  0","             27498","            -13506","                  5","                 16","            -13517","                -65","            -13452","                  0","                  0","                  0","                  0","            -13452","                 -0.08"
"5608","四維航業","            594288","            122190","            472098","                  0","                  0","            170169","            301929","          1066002","             27748","          1340183","            205164","          1135019","                  0","                  0","                  0","                  0","          1135019","                  3.11"
"5706","鳳凰旅遊","          2335511","          2064455","            271056","                  0","                  0","            186556","             84500","            150236","              1117","            233619","             19567","            214052","                  0","                  0","                  0","                  0","            214052","                  5.50"
"6108","競國實業","          2482915","          2046753","            436162","                  0","               -198","            171376","            264588","            360204","             79259","            545533","             58073","            487460","                  0","                  0","                  0","                  0","            487460","                  3.05"
"6112","聚碩","          4153596","          3734098","            419498","                  0","                  0","            272645","            146853","             30864","             31063","            146654","             27696","            118958","                  0","                  0","                  0","                  0","            118958","                  1.81"
"6115","鎰勝","          5864613","          5275418","            589195","                  0","                  0","            184602","            404593","            459146","            130389","            733350","             74000","            659350","                  0","                  0","                  0","                  0","            659350","                  4.14"
"6116","彩晶","         54929026","         55263039","           -334013","             12308","                  0","          4868668","         -5214989","            755646","          3151902","         -7611245","                  0","         -7611245","                  0","                  0","                  0","                  0","         -7611245","                 -1.46"
